Year,Crops,Area,Number of Trees,Number of Bearing Trees,Production
1995,Apples,14,1451,1034,21.4
1995,Bananas,3062.7,0,0,4374.3
1995,Clementines,1298,38679,33595,1454.7
1995,Dates,240.5,2644,2488,248.8
1995,Figs,146.4,753,753,20
1995,Grapefruits,389.3,9227,7734,398.3
1995,Grapes,1797.9,289877,202298,4693.3
1995,Guava,539.1,25000,23948,546
1995,Lemons,1129.3,36147,30315,1170.2
1995,Mandarins,877.3,26899,24446,998.8
1995,Olives,473,11150,6250,41.3
1995,Oranges,1816.1,55224,37281,1467.6
1995,Others_(Fruit_trees),84,7401,3084,83.3
1995,Peaches,684.9,48567,42884,1050.7
1995,Pomegranates,27.9,1455,1455,31
1996,Apples,14,1451,1260,7.6
1996,Bananas,3249.9,0,0,4550
1996,Clementines,1298,38679,36674,2435.2
1996,Dates,240.5,2644,2644,238
1996,Figs,146.4,753,753,32.3
1996,Grapefruits,442.8,11233,7308,200.1
1996,Grapes,1797.9,289877,238796,1408.9
1996,Guava,585.9,27407,24630,231.5
1996,Lemons,1162.7,37484,35896,1751.7
1996,Mandarins,877.3,26899,25682,2706.9
1996,Olives,483,12287,10432,134.6
1996,Oranges,1949.8,60038,42371,1501.6
1996,Others_(Fruit_trees),84,7401,3084,83.3
1996,Peaches,684.9,48567,48567,310.8
1996,Pomegranates,27.9,1455,1455,33.5
1997,Almonds,0,8,8,0.1
1997,Apples,596.5,35048,34240,561.5
1997,Apricots,39,1888,1461,14.8
1997,Bananas,458.7,46036,38282,535.9
1997,Clementines,2254.7,71879,65469,2428.9
1997,Dates,400.5,7287,4553,418.9
1997,Figs,14.6,923,878,34.2
1997,Grapefruits,1147.1,38995,32796,1991.8
1997,Grapes,2019,209141,158897,1001.1
1997,Guava,493.2,27698,27269,845.3
1997,Lemons,1428.3,51648,47544,1074.5
1997,Mandarins,1448,47542,44295,1493.2
1997,Olives,1291.6,38991,27872,359.5
1997,Oranges,2609.3,87348,71119,1043.6
1997,Others_(Fruit_trees),287.5,6911,5612,75.2
1997,Peaches,239,12776,12433,134.3
1997,Pears,0,7,7,0.1
1997,Plums,6,149,149,2.1
1997,Pomegranates,43.3,2366,2262,49.8
1998,Almonds,0,8,8,0.1
1998,Apples,626.5,37048,19471,430.3
1998,Apricots,39,1888,1888,22.7
1998,Bananas,458.7,46136,46036,736.6
1998,Clementines,2254.7,71879,69471,2125.8
1998,Dates,720.7,10690,6601,264
1998,Figs,14.6,923,886,26.6
1998,Grapefruits,1220.7,41167,29594,889.9
1998,Grapes,2059,212474,122497,1323
1998,Guava,513.2,28565,27698,606.6
1998,Lemons,1528.4,57955,42348,1651.6
1998,Mandarins,1498,49542,47506,1910.6
1998,Olives,1291.6,40991,26644,215.8
1998,Oranges,2863.2,94198,57438,1728.3
1998,Others_(Fruit_trees),287.5,6978,6716,135
1998,Peaches,239,12776,12776,213.4
1998,Pears,0,7,7,0.3
1998,Plums,6,149,149,2.2
1998,Pomegranates,43.3,2366,2248,51.7
1999,Almonds,0,8,8,0.1
1999,Apples,626.5,37048,34907,733
1999,Apricots,39,1888,1888,31.5
1999,Bananas,458.7,46136,46136,645.9
1999,Clementines,2361.9,77239,69318,3181.7
1999,Dates,720.7,10690,2532,151.9
1999,Figs,14.6,923,923,9.2
1999,Grapefruits,1227.4,41435,38015,1979
1999,Grapes,2059,212488,202808,3711.4
1999,Guava,513.2,28565,25071,732.1
1999,Lemons,1528.4,59295,51383,2409.9
1999,Mandarins,1498,49542,49542,1463
1999,Olives,1291.6,40991,29049,287.6
1999,Oranges,2997.2,100898,90367,3074.2
1999,Others_(Fruit_trees),287.5,6978,6978,166.8
1999,Peaches,239,12776,12776,217.2
1999,Pears,0,7,7,0.3
1999,Plums,6,149,149,1.8
1999,Pomegranates,43.3,2366,2366,101.7
2000,Almonds,0,8,8,0.2
2000,Apples,626.5,37048,34899,1570.5
2000,Apricots,39,1888,1888,66.1
2000,Bananas,458.7,46136,45213,813.8
2000,Clementines,2361.9,77239,74458,3574
2000,Dates,850.3,12246,6414,224.5
2000,Figs,14.6,923,923,18.5
2000,Grapefruits,1227.4,41435,41435,1281.5
2000,Grapes,2059,212488,202926,1826.3
2000,Guava,513.2,28565,25708,719.8
2000,Lemons,1528.4,59295,58524,1872.8
2000,Mandarins,1498,49542,49542,2724.8
2000,Olives,1291.6,40991,40991,205
2000,Oranges,2997.2,100898,96709,4852.7
2000,Others_(Fruit_trees),287.5,6978,6967,183.2
2000,Peaches,239,12776,12648,442.7
2000,Pears,0,7,7,0.3
2000,Plums,6,149,149,5.4
2000,Pomegranates,43.3,2366,2366,153.8
2001,Almonds,0,8,8,0.2
2001,Apples,626.5,37048,34825,1323.4
2001,Apricots,39,1888,1888,54.8
2001,Bananas,458.7,46136,46136,922.7
2001,Clementines,2361.9,77239,73377,1320.8
2001,Dates,850.3,12246,6980,188.5
2001,Figs,14.6,923,923,13.8
2001,Grapefruits,1227.4,41435,41435,909.6
2001,Grapes,2059,212488,201863,2422.4
2001,Guava,513.2,28565,25708,745.5
2001,Lemons,1528.4,59295,58109,639.2
2001,Mandarins,1498,49542,49542,1796.1
2001,Olives,1291.6,40991,40991,409.9
2001,Oranges,2997.2,100898,96330,3015.6
2001,Others_(Fruit_trees),287.5,6978,6969,188.2
2001,Peaches,239,12776,12520,338
2001,Pears,0,7,7,0.2
2001,Plums,6,149,149,2.7
2001,Pomegranates,43.3,2366,2366,113.6
2002,Almonds,0,8,8,0.2
2002,Apples,626.5,37048,35196,1759.8
2002,Apricots,39,1888,1888,60.4
2002,Bananas,458.7,46136,46136,968.9
2002,Clementines,2481.2,81216,77239,1699.3
2002,Dates,1665.6,31137,10409,520.5
2002,Figs,14.6,923,923,9.2
2002,Grapefruits,1446.1,47997,41435,1607.9
2002,Grapes,3132.8,261405,212488,2124.9
2002,Guava,513.2,28565,27136,814.1
2002,Lemons,1727.3,64366,58702,1138.8
2002,Mandarins,1617.3,53121,49542,902.2
2002,Olives,1291.6,40991,40991,1008.4
2002,Oranges,3633.6,120186,97316,1692.2
2002,Others_(Fruit_trees),287.5,6978,6886,536.7
2002,Peaches,239,12776,12776,383.3
2002,Pears,0,7,7,0.2
2002,Plums,6,149,149,3.3
2002,Pomegranates,43.3,2366,2366,52.5
2003,Apples,2,72,72,1.6
2003,Apricots,0,1,0,0
2003,Bananas,72,5860,5709,79.9
2003,Clementines,1380.5,43677,38367,1918.4
2003,Dates,2558,39126,6759,392
2003,Figs,2.5,429,392,5.9
2003,Grapefruits,940.5,28380,23608,1349.3
2003,Grapes,653,37746,27592,827.8
2003,Guava,63,2317,2298,131
2003,Lemons,1155.5,37530,30996,1487.8
2003,Mandarins,796,25421,23009,1196
2003,Olives,758.2,37944,33181,763.2
2003,Oranges,2512.7,78648,56698,2822.8
2003,Others_(Fruit_trees),711,33611,11841,382.6
2003,Peaches,0,2,0,0
2003,Pears,0,2,2,0.1
2003,Pomegranates,81,3114,3093,108.3
2004,Apples,2,72,72,1.8
2004,Apricots,0,1,0,0
2004,Bananas,72,5860,5709,159.9
2004,Clementines,1380.5,43677,43352,2687.8
2004,Dates,2558,39126,20796,1247.8
2004,Figs,2.5,429,392,7.1
2004,Grapefruits,940.5,28380,27644,2010.6
2004,Grapes,653,37746,33938,1187.8
2004,Guava,63,2317,2298,71.2
2004,Lemons,1155.5,37530,34440,1274.3
2004,Mandarins,796,25421,24722,2023
2004,Olives,758.2,37944,33927,916
2004,Oranges,2512.7,78648,70842,4271.6
2004,Others_(Fruit_trees),711,33620,11849,256.7
2004,Peaches,0,2,0,0
2004,Pears,0,2,2,0
2004,Pomegranates,81,3114,3093,114.4
2005,Apples,2,72,72,1.6
2005,Apricots,0,1,0,0
2005,Bananas,72,5860,5709,125.6
2005,Clementines,1380.5,43677,43352,2167.6
2005,Dates,2558,39126,20796,1206.2
2005,Figs,2.5,429,392,5.9
2005,Grapefruits,940.5,28380,27644,1607.6
2005,Grapes,653,37746,33938,1018.1
2005,Guava,63,2317,2298,131
2005,Lemons,1155.5,37530,34440,1653.1
2005,Mandarins,796,25421,24722,1285
