Year,Crops,Area,Number of Trees,Number of Bearing Trees,Production
1995,Apples,73.9,4511,3695,85.9
1995,Bananas,17846.3,0,0,29153.8
1995,Clementines,15057.7,468624,450263,29963.9
1995,Dates,753.9,10667,8505,513.2
1995,Figs,216,2286,2286,64.3
1995,Grapes,2817.2,389245,295820,6446.5
1995,Guava,1608.2,67446,61142,1635.5
1995,Lemons,14476.1,371131,355951,31868.3
1995,Mandarins,11057.2,310067,297660,17330.9
1995,Olives,2136.9,39700,27935,730.8
1995,Oranges,13259.9,368084,294587,21242.8
1995,Others_(Fruit_trees),226.2,11719,5373,186.2
1995,Peaches,977.5,66235,59605,1359.1
1995,Pomegranates,490.9,19339,17103,199.9
1995,Grapefruit,1784.7,48270,44222,2806.3
1996,Apples,73.9,4538,4151,89.4
1996,Bananas,20943.3,0,0,28711.2
1996,Clementines,15084,469737,451367,40093.2
1996,Dates,776.4,11241,6780,440
1996,Figs,222.9,2526,2039,62.3
1996,Grapes,2923.4,399686,303835,2669.4
1996,Guava,1695,70626,48472,758.1
1996,Lemons,14740.5,395082,331439,36574.6
1996,Mandarins,11057.2,310067,295951,27206.1
1996,Olives,2392.2,48738,33206,688.9
1996,Oranges,13730.7,383852,286688,24536.6
1996,Others_(Fruit_trees),226.2,11788,6764,119.4
1996,Peaches,977.5,66235,65510,687.4
1996,Pomegranates,490.9,19360,17486,292.4
1996,Grapefruit,1935.6,53015,38924,2366.7
1997,Almonds,5.5,346,71,0.7
1997,Apples,1190.5,64467,61009,1169.1
1997,Apricots,113.5,4753,4260,70.7
1997,Bananas,13174.6,1368739,1010258,18032.8
1997,Clementines,16998,539979,509803,57036.9
1997,Dates,972.5,21574,11493,828.6
1997,Figs,271.6,22884,22721,352.3
1997,Grapes,2818.3,281476,204945,1963.7
1997,Guava,1275.1,57474,48694,1451.3
1997,Lemons,20656.5,434222,397473,44476.9
1997,Mandarins,8951.2,287173,274465,29328.2
1997,Olives,6690.8,145664,101727,4357
1997,Oranges,19679.8,644064,520563,29521.9
1997,Others_(Fruit_trees),871.4,20316,16748,416.1
1997,Peaches,353,17424,16930,240.2
1997,Pears,2.5,83,83,1.5
1997,Plums,6.5,194,187,2.8
1997,Pomegranates,1117.5,48985,46963,1381.1
1997,Grapefruit,4795.6,159160,134186,7128
1998,Almonds,5.5,346,177,2.1
1998,Apples,1220.5,66467,48829,1736
1998,Apricots,113.5,4953,4548,78.5
1998,Bananas,15906.3,1662389,1261449,24357.3
1998,Clementines,16998,539979,511200,46915
1998,Dates,1326,25844,19947,1097.8
1998,Figs,271.6,22884,22777,338.2
1998,Grapes,2858.3,285009,190105,2198.4
1998,Guava,1295.1,58341,50673,1314.4
1998,Lemons,20839.9,443489,407297,42189.2
1998,Mandarins,9001.2,289173,275474,26033.2
1998,Olives,6852.5,153581,110259,2180.9
1998,Oranges,20313.8,668180,494934,37741.5
1998,Others_(Fruit_trees),891.4,21249,15994,529.9
1998,Peaches,353,17424,17401,423.8
1998,Pears,2.5,83,83,1.7
1998,Plums,6.5,194,191,3.1
1998,Pomegranates,1117.5,49085,48835,1327.5
1998,Grapefruit,4882.5,162198,137276,8141.2
1999,Almonds,5.5,346,346,4
1999,Apples,1220.5,66467,63719,2128.6
1999,Apricots,113.5,4953,4953,107.9
1999,Bananas,16683.9,1743824,1506369,36257.1
1999,Clementines,17105.2,545339,523658,22907.4
1999,Dates,1339.4,26380,16498,635.8
1999,Figs,271.6,22884,22861,177.8
1999,Grapes,2858.3,285023,274113,4324.7
1999,Guava,1295.1,58341,53105,1370.2
1999,Lemons,21004.4,456497,392702,23657.2
1999,Mandarins,9001.2,289173,278552,10420.2
1999,Olives,6872.3,154241,100301,1606.1
1999,Oranges,20654,681340,541256,17996.2
1999,Others_(Fruit_trees),891.4,21249,19818,441.3
1999,Peaches,353,17424,17056,256.9
1999,Pears,2.5,83,83,2.1
1999,Plums,6.5,194,194,2.7
1999,Pomegranates,1331.9,64830,46435,1208.4
1999,Grapefruit,4889.2,162466,137835,9399.8
2000,Almonds,5.5,346,346,6.9
2000,Apples,1220.5,66467,64318,2894.3
2000,Apricots,113.5,4959,4959,173.2
2000,Bananas,20595.7,2194509,1752543,20664.6
2000,Clementines,17481,554385,542558,30578.9
2000,Dates,1469,27935,21259,960.4
2000,Figs,271.6,22884,22884,557.9
2000,Grapes,2983.1,291263,275461,2583.5
2000,Guava,1295.1,58341,55484,1297.1
2000,Lemons,21197.2,462329,332693,27037.3
2000,Mandarins,9255,294467,289184,18832.5
2000,Olives,7004.7,156098,142307,3392.6
2000,Oranges,21183.7,695014,643983,39591.1
2000,Others_(Fruit_trees),891.4,21452,21239,426.6
2000,Peaches,353,17424,17252,603.9
2000,Pears,2.5,83,83,3.9
2000,Plums,6.5,194,194,7
2000,Pomegranates,1331.9,64830,64830,2333.4
2000,Grapefruit,4950.7,164619,162466,6405
2001,Almonds,5.5,346,346,9.5
2001,Apples,1220.5,66467,64244,3218.1
2001,Apricots,113.5,4959,4959,144.2
2001,Bananas,20595.7,2194509,2194509,24235.9
2001,Clementines,17481,554385,541033,38591.2
2001,Dates,1469,27935,22236,975.8
2001,Figs,271.6,22884,22884,99.8
2001,Grapes,2983.1,291263,277315,3558.7
2001,Guava,1295.1,58341,55484,1507.9
2001,Lemons,21197.2,462329,407254,34154.7
2001,Mandarins,9255,294467,289672,22766.3
2001,Olives,7004.7,156098,141194,1663.1
2001,Oranges,21183.7,695014,679247,32120.3
2001,Others_(Fruit_trees),891.4,21452,21236,996.2
2001,Peaches,353,17424,17168,525.9
2001,Pears,2.5,83,83,4.5
2001,Plums,6.5,194,194,4.3
2001,Pomegranates,1331.9,64830,64830,3109.9
2001,Grapefruit,4950.7,164619,163075,7925.8
2002,Almonds,5.5,346,346,8.1
2002,Apples,1220.5,66467,64615,2977
2002,Apricots,113.5,4959,4959,186.1
2002,Bananas,22574.1,2408153,2194509,47061.6
2002,Clementines,17600.3,559858,554385,31372.1
2002,Dates,2284.3,46826,26098,1298.1
2002,Figs,271.6,22888,22727,492.7
