Year,Crops,Area,Number of Trees,Number of Bearing Trees,Production
2017,Lemons,16143.3,541748,441746,29155.2
2017,Oranges,22512.6,762112,716189,38915.8
2017,Clementines,9929.3,320152,314415,18550.5
2017,Grapefruits,3567.8,120559,113078,5851
2017,Mandarins,3675.1,118828,117204,6295.6
2017,Olives,2699.7,54122,48537,1262
2017,Grapes,2739,364290,285966,5719.3
2017,Figs,2.5,40,3,0
2017,Almonds,3,70,0,0
2017,Peaches,48,1310,1310,26.2
2017,Apricots,36,1690,1610,30.6
2017,Pomegranates,661,27536,22503,877.6
2017,Guava,662.2,26195,24292,704.5
2017,Dates,2420.7,44369,33352,3435.2
2017,Bananas,773.3,83325,83325,5416.1
2017,Others_(Fruit_trees),561.8,8066,8066,304.5
2017,Nectarines,5,300,300,7.2
2016,Lemons,13281.7,451241,423536,27529.8
2016,Oranges,24293.6,803044,762168,46508.9
2016,Clementines,9556.2,307378,305396,18629.1
2016,Grapefruits,3713.3,120351,119046,8270.1
2016,Mandarins,5110.5,164210,164210,10846.4
2016,Olives,1652.2,46783,36010,864.2
2016,Grapes,572.2,76658,32511,1300.5
2016,Figs,11,322,322,8.4
2016,Almonds,0,3,3,0.1
2016,Peaches,7,280,280,14
2016,Apricots,43,1455,1455,50.9
2016,Pomegranates,790,30707,18811,1203.9
2016,Pears,5,200,200,6
2016,Guava,671.5,25981,25981,1610.8
2016,Dates,2270.7,51033,40160,5020
2016,Bananas,850.5,90390,90390,6688.9
2016,Others_(Fruit_trees),1758.6,434853,73530,2738.4
2015,Lemons,13246.6,450273,439588,29012.8
2015,Oranges,24213.5,800682,784439,47100.6
2015,Clementines,9539.5,306911,306387,19608.8
2015,Grapefruits,3710,120251,119148,7492.7
2015,Mandarins,5110.5,164210,164210,10518
2015,Olives,1652.2,46783,41059,1034.7
2015,Grapes,358.6,54169,50681,1520.4
2015,Figs,11,322,322,9
2015,Almonds,0,3,3,0.1
2015,Peaches,7,280,280,8.1
2015,Apricots,43,1455,1455,42.2
2015,Pomegranates,656.5,24034,24034,1057.5
2015,Pears,5,200,200,7
2015,Guava,671.5,25981,25981,1013.3
2015,Dates,2270.7,51033,45271,2852.1
