Year,Crops,Area,Number of Trees,Number of Bearing Trees,Production
1995,Apples,37,1674,1646,32.9
1995,Bananas,10971.1,0,0,17406.6
1995,Clementines,427,9282,9067,318.3
1995,Dates,432.4,6388,4431,195
1995,Figs,38.6,816,816,12
1995,Grapefruits,213.3,7955,6843,216.3
1995,Grapes,565.8,58714,52968,736.3
1995,Guava,470.6,21931,21931,502.2
1995,Lemons,888.2,23351,22733,957.1
1995,Mandarins,1175,35071,34764,976.3
1995,Olives,630.4,9870,5647,127.1
1995,Oranges,811.1,24405,22019,822.4
1995,Others_(Fruit_trees),41,1127,771,27
1995,Peaches,85.2,6315,5368,16.6
1995,Pomegranates,57,2128,1744,25.1
1996,Apples,37,1701,1623,37.3
1996,Bananas,13069,0,0,20506.6
1996,Clementines,433.9,9488,9002,360.1
1996,Dates,454.9,6962,3259,163
1996,Figs,45.5,1056,732,9.5
1996,Grapefruits,216.8,8102,5751,232.3
1996,Grapes,672.1,69155,32660,542.2
1996,Guava,498,22075,13446,403.4
1996,Lemons,1028.7,43240,19007,760.3
1996,Mandarins,1175,35071,33389,835
1996,Olives,840,17441,7164,54.4
1996,Oranges,811.1,24405,21790,951.1
1996,Others_(Fruit_trees),41,1196,1127,28.2
1996,Peaches,85.2,6315,6315,99.1
1996,Pomegranates,57,2149,2054,28.1
1997,Almonds,4,261,11,0.1
1997,Apples,9.5,436,360,7.9
1997,Apricots,0,35,30,0.6
1997,Bananas,5838.5,550675,397774,9630.3
1997,Clementines,396.6,13557,10889,290.7
1997,Dates,281.5,4877,2430,133.7
1997,Figs,228,21160,21112,295.6
1997,Grapefruits,197.1,9452,8862,419.8
1997,Grapes,423.2,41923,22637,407.5
1997,Guava,111.7,3618,3266,101.2
1997,Lemons,445.7,18873,16531,276.1
1997,Mandarins,199.4,6494,6248,230.7
1997,Olives,1289.7,35479,20956,1571.7
1997,Oranges,582.3,28282,24862,1207.9
1997,Others_(Fruit_trees),51.5,1112,887,12.7
1997,Peaches,7.5,230,223,3.3
1997,Plums,0,1,1,0
1997,Pomegranates,12,897,833,15
1998,Almonds,4,261,115,1.4
1998,Apples,9.5,436,375,10.5
1998,Apricots,0,35,28,0.6
1998,Bananas,7216.5,699808,495608,8287.6
1998,Clementines,396.6,13557,11697,235.1
1998,Dates,314.8,5544,4158,160.9
1998,Figs,228,21160,21160,287.8
1998,Grapefruits,197.1,9452,9452,345.6
1998,Grapes,423.2,41923,41923,259.9
1998,Guava,111.7,3618,3618,101.3
1998,Lemons,445.7,18873,14339,423
1998,Mandarins,199.4,6494,3688,168.3
1998,Olives,1376.4,38546,26609,399.1
