year,ET0_JV,ET0_NS,ET0_SS,ET0_DA
1995,1395,1296,1498,1413
1996,1406,1301,1514,1422
1997,1380,1278,1485,1396
1998,1423,1321,1529,1439
1999,1421,1323,1522,1438
2000,1418,1319,1518,1435
2001,1429,1330,1532,1445
2002,1433,1326,1543,1450
2003,1434,1331,1539,1450
2004,1438,1335,1544,1456
2005,1443,1339,1550,1460
2006,1438,1313,1525,1432
2007,1426,1319,1537,1441
2008,1451,1347,1559,1467
2009,1446,1337,1558,1461
2010,1494,1385,1607,1509
2011,1409,1301,1521,1424
2012,1453,1346,1565,1468
2013,1452,1338,1571,1469
2014,1421,1314,1532,1437
2015,1452,1343,1565,1467
2016,1527,1442,1636,1544
2017,1498,1391,1610,1515
