date,month,ET0_JV,ET0_NS,ET0_DA,ET0_SS
1/1/1995,1,568.32,538.52,567.43,597.577035
2/1/1995,2,671.08,621.84,662.48,723.1879508
3/1/1995,3,1104.99,1012.56,1106.54,1199.567793
4/1/1995,4,1403.89,1302.45,1418.38,1510.223442
5/1/1995,5,1983.19,1858.73,2007.83,2114.729177
6/1/1995,6,2301.07,2149.19,2325.14,2466.52004
7/1/1995,7,2315.69,2115.89,2356.91,2522.203774
8/1/1995,8,2123.34,1952.85,2169.04,2288.303074
9/1/1995,9,1690.96,1570.96,1722.10,1810.411231
10/1/1995,10,1238.11,1167.81,1254.42,1313.747136
11/1/1995,11,819.83,766.75,821.93,876.1444398
12/1/1995,12,523.12,499.63,538.09,549.2088762
1/1/1996,1,597.04,558.35,596.82,635.5434149
2/1/1996,2,702.69,647.81,691.58,760.8958922
3/1/1996,3,1055.8,940.50,1053.05,1173.833141
4/1/1996,4,1397.19,1290.16,1408.53,1508.510578
5/1/1996,5,2041.19,1911.29,2066.38,2178.540742
6/1/1996,6,2238.27,2089.25,2262.35,2399.95856
7/1/1996,7,2319.64,2125.96,2354.68,2522.169505
8/1/1996,8,2127.47,1957.76,2171.24,2292.483592
9/1/1996,9,1753.63,1623.54,1788.11,1881.560457
10/1/1996,10,1249.82,1169.89,1266.31,1336.012475
11/1/1996,11,826.93,767.14,831.55,893.5637033
12/1/1996,12,563.71,537.23,573.58,590.0733336
1/1/1997,1,585.25,551.54,585.16,619.4817203
2/1/1997,2,678.28,623.63,669.86,735.9673409
3/1/1997,3,1035.7,935.54,1034.16,1137.642968
4/1/1997,4,1430.96,1310.65,1445.72,1556.014002
5/1/1997,5,2002.77,1879.42,2028.39,2133.108334
6/1/1997,6,2238.7,2090.14,2263.89,2400.177383
7/1/1997,7,2356.76,2159.38,2395.50,2559.98735
8/1/1997,8,2065.38,1893.86,2110.85,2230.712207
9/1/1997,9,1663.47,1536.40,1697.31,1789.48948
10/1/1997,10,1161.15,1099.02,1172.89,1228.056663
11/1/1997,11,777.25,723.85,781.30,836.6823908
12/1/1997,12,564.11,539.32,572.01,587.4134874
1/1/1998,1,584.67,546.12,583.33,622.426416
2/1/1998,2,666.03,619.69,654.41,714.8942945
3/1/1998,3,1094.12,977.85,1092.08,1212.772644
4/1/1998,4,1430.96,1399.13,1516.45,1613.301318
