date,month,PR_JV,PR_NS,PR_DA,PR_SS
1/1/1995,1,12.01,16.60,13.00,6.94
2/1/1995,2,39.24,50.66,40.59,26.91
3/1/1995,3,14.37,18.57,16.80,10.08
4/1/1995,4,10.00,13.23,12.00,6.30
5/1/1995,5,1.37,2.34,1.00,0.27
6/1/1995,6,0.00,0.00,0.00,0.00
7/1/1995,7,0.00,0.00,0.00,0.00
8/1/1995,8,0.00,0.00,0.00,0.00
9/1/1995,9,0.01,0.00,0.00,0.00
10/1/1995,10,0.47,1.00,1.00,0.00
11/1/1995,11,33.97,43.79,37.00,23.32
12/1/1995,12,17.89,22.83,18.00,12.53
1/1/1996,1,74.23,91.44,75.00,55.22
2/1/1996,2,17.88,22.81,18.80,12.56
3/1/1996,3,55.17,70.47,64.39,39.15
4/1/1996,4,10.44,14.02,12.80,6.45
5/1/1996,5,0.19,0.34,0.00,0.00
6/1/1996,6,0.00,0.00,0.00,0.00
7/1/1996,7,0.00,0.00,0.00,0.00
8/1/1996,8,0.00,0.00,0.00,0.00
9/1/1996,9,0.05,0.01,0.00,0.00
10/1/1996,10,13.26,21.05,17.00,5.37
11/1/1996,11,11.88,15.40,13.00,8.08
12/1/1996,12,32.29,43.22,33.00,20.58
1/1/1997,1,47.05,52.65,45.00,40.79
2/1/1997,2,67.97,93.69,75.39,40.43
3/1/1997,3,49.64,62.75,57.39,35.89
4/1/1997,4,8.40,12.27,9.80,4.08
5/1/1997,5,4.58,6.54,4.00,2.70
6/1/1997,6,0.00,0.00,0.00,0.00
7/1/1997,7,0.00,0.00,0.00,0.00
8/1/1997,8,0.00,0.00,0.00,0.00
9/1/1997,9,0.05,0.01,0.00,0.00
10/1/1997,10,9.99,13.82,13.00,6.09
11/1/1997,11,28.48,40.40,32.00,15.41
12/1/1997,12,55.56,71.47,58.20,38.63
1/1/1998,1,54.87,69.71,57.00,38.47
2/1/1998,2,29.09,36.81,31.59,20.81
3/1/1998,3,59.26,76.00,67.18,41.77
4/1/1998,4,3.62,5.27,4.00,1.78
5/1/1998,5,7.49,11.28,8.00,3.92
6/1/1998,6,0.00,0.00,0.00,0.00
7/1/1998,7,0.00,0.00,0.00,0.00
8/1/1998,8,0.00,0.00,0.00,0.00
9/1/1998,9,0.04,0.01,0.00,0.00
10/1/1998,10,0.53,1.00,1.00,0.00
11/1/1998,11,2.63,3.34,3.00,1.91
12/1/1998,12,21.75,31.97,23.00,10.58
1/1/1999,1,36.80,47.24,39.00,25.32
2/1/1999,2,32.75,39.61,36.39,25.75
3/1/1999,3,23.01,31.38,26.59,14.30
4/1/1999,4,7.22,10.14,8.00,3.98
5/1/1999,5,0.00,0.00,0.00,0.00
6/1/1999,6,0.00,0.00,0.00,0.00
7/1/1999,7,0.00,0.00,0.00,0.00
8/1/1999,8,0.00,0.00,0.00,0.00
9/1/1999,9,0.00,0.00,0.00,0.00
10/1/1999,10,1.43,2.43,2.00,0.40
11/1/1999,11,4.57,6.07,5.00,3.03
12/1/1999,12,10.98,14.84,11.00,6.81
1/1/2000,1,108.53,138.34,113.20,75.69
2/1/2000,2,17.50,23.39,18.80,11.14
3/1/2000,3,28.04,35.35,31.59,20.43
4/1/2000,4,0.88,1.37,1.00,0.22
5/1/2000,5,0.00,0.00,0.00,0.00
6/1/2000,6,0.00,0.00,0.00,0.00
7/1/2000,7,0.00,0.00,0.00,0.00
