Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2017,Tomatoes,24926.6,8.8,219873,7691.1,9.3,71731.7,17235.5,8.6,148141.2
2017,Squash,8152.9,3,24586.2,3178.8,3.1,9842.2,4974.1,3,14743.9
2017,Eggplants,5657.8,3.8,21660.5,2460.4,4.3,10507.4,3197.4,3.5,11153.1
2017,Cucumber,9781.5,12.4,121125.7,5393,12.4,66684.4,4388.5,12.4,54441.4
2017,Potato,9662.1,2.6,24918.2,7075.7,2.5,17609,2586.4,2.8,7309.1
2017,Cabbage,1723.6,6.2,10729.2,808.8,6.3,5094.9,914.8,6.2,5634.2
2017,Cauliflower,1099.5,3.6,3910.3,518,3.6,1867.7,581.5,3.5,2042.5
2017,Pepper,1742.8,3.3,5718,1307.8,3.3,4362.5,435,3.1,1355.5
2017,Pepper,8119.1,3.2,25602.8,3515.3,3.3,11473.4,4603.8,3.1,14129.5
2017,Beans,1514.2,1.8,2705.7,1434.7,1.8,2567.9,79.5,1.7,137.7
2017,Beans,1078,3,3239.2,757.5,3.5,2631.6,320.5,1.9,607.5
2017,Peas,299.5,1.1,320.5,259.5,1,259.5,40,1.5,61
2017,Cowpeas,107,1.7,185.5,10,1.2,11.8,97,1.8,173.6
2017,Jew's mallow,1780,3.2,5618.1,30,2.4,71.7,1750,3.2,5546.4
2017,Okra,2940.9,0.7,2100.4,167.5,0.7,119.4,2773.4,0.7,1981
2017,Lettuce,6378,4.3,27143.6,3124.5,4.3,13480.3,3253.5,4.2,13663.4
2017,Sweet melon,48.5,4.6,220.5,6,6.1,36.6,42.5,4.3,183.9
2017,Water melon,1,4.3,4.3,0,0,0,1,4.3,4.3
2017,Spinach,18,4.3,77.3,14,4.4,61.3,4,4,16
2017,Onion green,736.3,2.6,1898.2,452.3,2.5,1127.6,284,2.7,770.7
2017,Onion dry,2016.8,4.3,8685.9,1316.5,4.2,5485.2,700.3,4.6,3200.7
2017,Cucumber,207.5,1.6,332.6,12,1.6,19.2,195.5,1.6,313.4
2017,Turnip,186.5,4.5,842.6,149.5,4.6,687.2,37,4.2,155.4
2017,Carrot,1432.5,4.8,6927.8,1305.5,4.9,6424.4,127,4,503.4
2017,Parsley,11.5,4.9,56.6,11.5,4.9,56.6,0,0,0
2017,Radish,321.4,4.5,1435.1,265.4,4.4,1179.5,56,4.6,255.5
2017,Others_(Vegetables),1101.2,1.5,1647.2,901.7,1.4,1280.6,199.5,1.8,366.4
2016,Tomatoes,13712.7,9.6,131493.9,10569.2,9.6,101556.1,3143.5,9.5,29937.7
2016,Squash,6931.3,2.8,19275.7,4785.2,2.7,12856.6,2146.2,3,6419.1
2016,Eggplants,4065.2,3.9,15782.3,3094.4,4.1,12637.9,970.7,3.2,3144.4
2016,Cucumber,7984.4,9.6,76693.3,7516.5,9.5,71406.4,467.9,11.3,5286.9
2016,Potato,12147.9,4.3,51597.3,10286.4,4.2,43220.7,1861.5,4.5,8376.6
