Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
1995,Beans,11214.2,1.6,8509.4,9711.8,1.8,7551.8,1502.4,0.6,957.6
1995,Cabbage,1722.9,1.7,2865.5,1689.7,1.7,2819.1,33.2,1.4,46.5
1995,Carrot,2985.1,2.2,6621.1,2985.1,2.2,6621.1,0,0,0
1995,Cauliflower,2234.5,1.5,3335.9,2234.5,1.5,3335.9,0,0,0
1995,Cowpeas,1126.7,0.3,301.4,50.2,0.4,21.5,1076.5,0.3,279.8
1995,Cucumber,4977.6,9.7,44070.3,4559.3,9.6,43670.6,418.3,3.2,399.7
1995,Eggplants,12985.4,3.5,45198.5,8332.7,2.8,23170.4,4652.7,4.7,22028
1995,Jew's mallow,9749.7,2.1,20432.5,295.2,1.2,358.8,9454.5,2.1,20073.6
1995,Lettuce,2833,1.3,3749.4,2592.3,1.3,3276.7,240.7,2,472.7
1995,Okra,1596.2,0.2,381.3,0,0,0,1596.2,0.2,381.3
1995,Onion dry,7631.9,1.8,13417.2,7467.6,1.8,13125.4,164.3,1.8,291.9
1995,Onion green,662.5,2,1341.3,662.5,2,1341.3,0,0,0
1995,Others_(Vegetables),1720.8,1.2,2100.9,1101.8,1.1,1228.7,619,1.4,872.3
1995,Parsley,1060.8,0.6,669.9,815,0.7,566.2,245.8,0.4,103.7
1995,Peas,10.7,0.2,2.1,10.7,0.2,2.1,0,0,0
1995,Pepper,4011.1,6.1,11899.1,3239.2,6.6,10593.7,771.9,4.3,1305.4
1995,Potato,8478.2,1.9,15994.3,8307.3,1.9,15687.2,170.9,1.8,307.1
1995,Radish,529,1.7,909.7,529,1.7,909.8,0,0,0
1995,Spinach,1077,1.7,1850.7,1056.9,1.7,1817.5,20.1,1.7,33.2
1995,Squash,10786.6,2,21818.4,9721.4,1.9,18562.1,1065.2,3.1,3256.3
1995,Sweet melon,9979.3,0.6,5453.6,0,0,0,9979.3,0.6,5453.6
1995,Tomatoes,44459.9,3.4,149498.5,31475.8,2.7,85417.3,12984.1,4.9,64081
1995,Turnip,463.7,2.7,1237.2,463.7,2.7,1237.2,0,0,0
1995,Water melon,816.7,2.9,2370.5,0,0,0,816.7,2.9,2370.5
1996,Beans,13175.5,1.8,12319.3,12420.5,1.9,11899.2,755,1.4,420
1996,Cabbage,1635.4,3.1,4995.5,1470.5,3,4469,164.9,3.2,526.5
1996,Carrot,2831.9,1.2,3471.4,2831.9,1.2,3471.4,0,0,0
1996,Cauliflower,1510.7,3.1,4690.7,1391.1,3.1,4282.7,119.6,3.4,408
1996,Cowpeas,331.3,0.4,146.4,0,0,0,331.3,0.4,146.4
1996,Cucumber,4226.1,11,41910.8,3917,10.3,40304.1,309.1,8,1606.8
1996,Eggplants,10705.7,3.4,36629,7440.7,3.9,28702.9,3265,2.4,7926.3
1996,Jew's mallow,11829,1.3,15891.8,562.9,1.7,970.5,11266.1,1.3,14921.2
1996,Lettuce,4013.6,1.1,4529,3592.5,1.1,3837.2,421.1,1.6,691.9
1996,Okra,2785.1,0.3,694,0,0,0,2785.1,0.3,694
1996,Onion dry,11058.7,1.7,19234.3,9843.1,1.7,17166.6,1215.6,1.7,2067.7
1996,Onion green,700,0.7,486.2,687,0.7,470.6,13,1.2,15.6
1996,Others_(Vegetables),1090.1,1.3,1361,743.7,1.2,896.8,346.4,1.3,464.3
1996,Parsley,888.4,0.9,836.9,826.8,1,793.9,61.6,0.7,43.1
1996,Peas,92.2,0.2,21.5,71.6,0.2,13.3,20.6,0.4,8.2
1996,Pepper,4065.4,5.9,11478.4,3228,6,9615.5,837.4,5.2,1862.8
1996,Potato,21626.1,2.4,51840.3,16769.9,2.5,41050.2,4856.2,2.2,10790.1
1996,Radish,568.6,1,582.7,536.2,1,550.3,32.4,1,32.4
1996,Spinach,675.9,0.6,431.3,675.9,0.6,431.3,0,0,0
1996,Squash,7964.7,2.1,16674.1,7182.3,2,14309.6,782.4,3,2364.5
1996,Sweet melon,4835.7,0.4,1777.4,47,1.2,56.4,4788.7,0.4,1721
1996,Tomatoes,37601.4,4.2,156680.2,27497.2,3.8,104047.6,10104.2,5.2,52632.5
1996,Turnip,179.8,1.2,217.8,179.8,1.2,217.8,0,0,0
1996,Water melon,749.6,2.8,2081.4,0,0,0,749.6,2.8,2081.4
1997,Beans,17590.1,1.4,13546.3,12937.5,1.1,7900.5,4652.6,2.1,5645.8
1997,Cabbage,1750.1,4.6,8051.7,1396.1,5.2,7214.8,354,2.4,836.9
1997,Carrot,3250.5,2.3,7515,2921,2.3,6779.4,329.5,2.2,735.5
1997,Cauliflower,2070.5,2.5,5129.5,1549,2.6,4055,521.5,2.1,1074.4
1997,Cowpeas,1025.3,0.3,327.8,81.5,0.7,57.6,943.8,0.3,270.2
1997,Cucumber,7061.6,9,41500.3,5622.2,7.2,33418.4,1439.4,12.5,8081.8
1997,Eggplants,13064,2.3,29965.4,8346,2.1,17832.1,4718,2.6,12133.2
1997,Jew's mallow,6954.9,2.7,18431.9,898.5,2.1,1878.3,6056.4,2.7,16553.5
1997,Lettuce,3809.1,2,7586.2,3051.6,1.9,5931.5,757.5,2.2,1654.6
1997,Okra,2728.7,0.3,865.2,142,0.9,125.8,2586.7,0.3,739.3
1997,Onion dry,2880.6,4.2,12172.8,1225.6,3,3625.8,1655,5.2,8547
1997,Onion green,2274.8,1.9,4383,1744,2,3511.6,530.8,1.6,871.3
1997,Others_(Vegetables),1791,1.6,2799.3,1229,1.6,1915.6,562,1.6,883.7
1997,Parsley,856.5,0.9,765,808.5,0.9,700.5,48,1.3,64.5
1997,Peas,194.5,0.6,121.4,162.5,0.6,101.4,32,0.6,20
1997,Pepper,5053.6,5.1,12797.5,4135.6,5.2,10581.3,918,4.7,2216.4
1997,Potato,16271.7,1.8,28482.9,13059.2,1.9,24231,3212.5,1.3,4252
1997,Radish,342.8,3.4,1159.2,306.3,3.4,1049,36.5,3,110.3
1997,Spinach,538.5,4.2,2238.6,529,4.2,2219.6,9.5,2,19
1997,Squash,14079.8,1.4,19908.3,10185.3,1.5,15070.4,3894.5,1.2,4837.9
1997,Sweet melon,5550.3,1.1,6344.6,69,1.9,128.2,5481.3,1.1,6216.4
1997,Tomatoes,50150.4,3.7,186274.2,30492.9,3.7,111532.6,19657.5,3.8,74741.6
1997,Turnip,171,2.1,364.5,168,2.1,355.9,3,2.9,8.6
1997,Water melon,2687,3.9,10583.5,346.5,3.3,1135.2,2340.5,4,9448.3
1998,Beans,14404.8,2.2,17008,12833,2.5,16148,1571.8,1.2,859.8
1998,Cabbage,2119,2.3,4902.9,1588.6,2,3195,530.4,3.2,1708
1998,Carrot,1995.8,4,8001.9,1955.8,4.1,7917.9,40,2.1,84
1998,Cauliflower,1765.1,2.4,4201.7,1565.1,2.5,3900.6,200,1.5,301.1
1998,Cowpeas,510.2,0.8,397.6,20,0.6,11,490.2,0.8,386.6
1998,Cucumber,5874.9,10,43880.4,4509.7,9.2,41572.6,1365.2,7.1,2307.7
1998,Eggplants,11514.3,3.4,38956.1,8689.7,3.5,30184.5,2824.6,3.1,8771.5
1998,Jew's mallow,11054.2,1.7,18784.5,544.1,2,1080,10510.1,1.7,17704.5
1998,Lettuce,3530.9,2.4,8486.6,2870.9,2.6,7344.6,660,1.7,1142
1998,Okra,1930.5,0.5,998.7,0,0,0,1930.5,0.5,998.8
1998,Onion dry,5136.1,2.1,10921.3,4795.8,2.2,10478.8,340.3,1.3,442.5
1998,Onion green,710.2,1.6,1167.5,710.2,1.6,1167.5,0,0,0
1998,Others_(Vegetables),2614.9,1,2481.3,1457.4,0.8,1119,1157.5,1.2,1362.3
1998,Parsley,1060.1,0.5,569.2,1060.1,0.5,569.3,0,0,0
1998,Peas,76.8,0.6,49,73.4,0.6,46.7,3.4,0.7,2.3
1998,Pepper,5160.4,6,15458.9,3713.6,5.7,10622.3,1446.8,6.7,4836.5
1998,Potato,16382.8,1.6,25790.7,13346.2,1.5,20040.9,3036.6,1.9,5749.9
1998,Radish,263.3,4.2,1113.1,263.3,4.2,1113.1,0,0,0
1998,Spinach,500,1.6,799.9,266.7,1.3,333.3,233.3,2,466.6
1998,Squash,11550.9,1.6,18392,9837.7,1.6,15587.7,1713.2,1.6,2804.2
1998,Sweet melon,5488.3,1.3,7147.1,0,0,0,5488.3,1.3,7147.1
1998,Tomatoes,38046.4,3.9,149921.1,25390.5,4.2,106882.7,12655.9,3.4,43038.3
1998,Turnip,236.7,1.7,408.6,236.7,1.7,408.5,0,0,0
1998,Water melon,1298.7,3.2,4199.3,93.3,4,373.3,1205.4,3.2,3826.1
1999,Beans,14800.6,1.7,12977.8,13626.5,1.7,12037.5,1174.1,1.2,940.3
1999,Cabbage,2514.9,3.2,7918.9,2514.9,3.2,7918.9,0,0,0
1999,Carrot,1951.1,3.8,7444.2,1951.1,3.8,7444.2,0,0,0
1999,Cauliflower,2800.6,2.3,6362.8,2800.6,2.3,6362.8,0,0,0
1999,Cowpeas,966.5,0.7,627.2,26.9,0.6,17.1,939.6,0.7,610
1999,Cucumber,5560.2,10.4,45417,4230.5,10.5,40651.3,1329.7,7.7,4765.6
1999,Eggplants,11049.2,3.1,34455.8,8130.4,2.8,22494.5,2918.8,4.1,11961.3
1999,Jew's mallow,13345.5,1.4,18297.2,487.4,2.1,1002,12858.1,1.4,17295.3
1999,Lettuce,3754.8,2.4,8981.2,3654.3,2.4,8810.4,100.5,1.7,170.9
1999,Okra,2872.8,0.5,1453.6,10,0.6,6,2862.8,0.5,1447.5
1999,Onion dry,2544.8,2.4,6013.9,1816.8,2.5,4594.9,728,2,1419
1999,Onion green,4118.7,1.1,4697.4,4051.7,1.2,4643.8,67,0.8,53.6
1999,Others_(Vegetables),3387.9,1.1,3688.2,1917,1.1,2104.6,1470.9,1.1,1583.6
1999,Parsley,1477.8,1.4,2102,1419.1,1.4,2026.1,58.7,1.3,75.9
1999,Peas,167.5,0.6,103.9,167.5,0.6,103.9,0,0,0
1999,Pepper,6975.5,5.5,19109.9,4666.8,4.9,11517.5,2308.7,6.3,7592.4
1999,Potato,14466,2.1,30836.4,12068.5,2.3,27734.5,2397.5,1.3,3102
1999,Radish,542.6,2.8,1512.1,542.6,2.8,1512.1,0,0,0
1999,Spinach,667.2,1.4,961.6,667.2,1.4,961.6,0,0,0
1999,Squash,11925.8,1.4,16136.3,10902.9,1.4,15088.2,1022.9,1,1048.1
1999,Sweet melon,3199.1,2.1,6701.3,39.2,1.8,71,3159.9,2.1,6630.3
1999,Tomatoes,42034.1,3.8,158558.3,33339.6,4.2,141517.6,8694.5,2,17040.7
1999,Turnip,169.1,2.6,432.2,169.1,2.6,432.2,0,0,0
1999,Water melon,502.7,3.4,1699.2,0,0,0,502.7,3.4,1699.2
2000,Beans,15041.3,1.3,11552.3,11944.4,1.2,8986.2,3096.9,1.5,2566.2
2000,Cabbage,2764.2,2.4,6756.6,2464.6,2.3,5625.3,299.6,3.8,1131.3
2000,Carrot,3774.3,2.2,8180,3774.3,2.2,8179.9,0,0,0
2000,Cauliflower,2319.1,2.1,4747.4,2220.9,2,4449.1,98.2,3,298.3
2000,Cowpeas,812.6,0.7,548.3,69.6,0.6,38.1,743,0.7,510.3
2000,Cucumber,7688.9,12.8,71333.7,4366.7,12.2,48651.3,3322.2,13.9,22682.6
