Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
1995,Beans,3007.9,1,1267.8,2881.7,0.9,1152.1,126.2,0.9,115.7
1995,Cabbage,1035.3,1.9,1918.4,1002.1,1.9,1871.9,33.2,1.4,46.5
1995,Carrot,79.7,0.9,69.4,79.7,0.9,69.4,0,0,0
1995,Cauliflower,644.3,1.6,1052.1,644.3,1.6,1052.1,0,0,0
1995,Cowpeas,372.2,0.3,118.9,19.9,0.5,10,352.3,0.3,108.9
1995,Cucumber,2022.5,9.8,19743.1,1972.7,9.9,19529.7,49.8,4.3,213.4
1995,Eggplants,2921.7,4.6,13313,343,2.2,752.2,2578.7,4.9,12560.8
1995,Jew's mallow,3371.5,2.5,8267,192.6,1.4,275.2,3178.9,2.5,7991.8
1995,Lettuce,629.2,1.2,751.9,629.2,1.2,751.9,0,0,0
1995,Okra,1001.5,0.3,252.4,0,0,0,1001.5,0.3,252.4
1995,Onion dry,1071.7,1.6,1674,1071.7,1.6,1674,0,0,0
1995,Onion green,328.6,1.4,465.3,328.6,1.4,465.3,0,0,0
1995,Others_(Vegetables),863.5,1.2,1021.5,478.3,0.9,450.5,385.2,1.5,571
1995,Parsley,884.4,0.4,391.7,638.6,0.5,288,245.8,0.4,103.7
1995,Pepper,1700.1,5.9,4812.9,1249,7,4369.3,451.1,3.3,443.6
1995,Potato,4049.4,2.1,8352.5,3938.7,2.1,8157,110.7,1.8,195.5
1995,Radish,385.2,1.6,605.9,385.2,1.6,605.9,0,0,0
1995,Spinach,956.4,1.8,1712.9,956.4,1.8,1712.9,0,0,0
1995,Squash,5779.1,2.3,13406.7,5136.3,2.2,11017.4,642.8,3.7,2389.3
1995,Sweet melon,38.5,1.1,42.4,0,0,0,38.5,1.1,42.4
1995,Tomatoes,10407.2,5.7,59744.2,1524.3,5.6,8472.1,8882.9,5.8,51272.1
1995,Turnip,146.1,2.8,412.1,146.1,2.8,412.1,0,0,0
1995,Water melon,112.4,2.9,325.8,0,0,0,112.4,2.9,325.8
1996,Beans,3076,2.3,3172.5,2849.2,2.7,3086.3,226.8,1.1,86.2
1996,Cabbage,809.3,3.8,3103.3,692.6,4,2745.5,116.7,3.1,357.8
1996,Carrot,45.4,2,90.7,45.4,2,90.7,0,0,0
1996,Cauliflower,543.5,2.8,1532.9,478.7,2.8,1322.2,64.8,3.3,210.7
1996,Cowpeas,162,0.4,64.8,0,0,0,162,0.4,64.8
1996,Cucumber,1495.6,11,16421.4,1284.9,11.6,14904.8,210.7,7.2,1516.6
1996,Eggplants,1954.2,0.8,1648.6,139.3,4.5,625,1814.9,0.6,1023.6
1996,Jew's mallow,4665.4,0.7,3154.5,71.3,1.2,85.6,4594.1,0.7,3068.9
