Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
1995,Beans,1113,0.8,610.6,1113,0.8,610.6,0,0,0
1995,Cabbage,297.5,1.5,447.4,297.5,1.5,447.4,0,0,0
1995,Cauliflower,741.2,2,1455,741.2,2,1455,0,0,0
1995,Cucumber,63.6,2.7,129,50.4,2.5,126.8,13.2,0.2,2.2
1995,Eggplants,5144.7,1.5,7607.5,4798.8,1.3,6396.8,345.9,3.5,1210.7
1995,Jew's mallow,115.5,0.8,86.6,0,0,0,115.5,0.8,86.6
1995,Lettuce,1321.2,1.1,1459.9,1321.2,1.1,1459.9,0,0,0
1995,Okra,326.8,0.2,58.2,0,0,0,326.8,0.2,58.2
1995,Onion dry,2335.3,1.8,4145.7,2208.8,1.8,3891.9,126.5,2,253.8
1995,Onion green,33.7,2.2,72.9,33.7,2.2,72.9,0,0,0
1995,Others_(Vegetables),371.8,1.3,471.4,352,1.3,448.3,19.8,1.2,23
1995,Parsley,176.4,1.6,278.2,176.4,1.6,278.2,0,0,0
1995,Pepper,400.2,5.8,1217.9,299.6,5.9,997.3,100.6,2.2,220.6
1995,Potato,53.7,1.7,91.3,53.7,1.7,91.3,0,0,0
1995,Spinach,60.4,1.7,101.7,40.3,1.7,68.5,20.1,1.7,33.2
1995,Squash,1678.7,1.9,3212.7,1573.1,1.9,2927.5,105.6,2.7,285.2
1995,Sweet melon,465.6,1.2,558.7,0,0,0,465.6,1.2,558.7
1995,Tomatoes,2811.8,2.7,7631.5,2477.8,2.6,6551.3,334,3.2,1080.2
1996,Beans,2200.7,0.8,986.4,2200.7,0.8,986.4,0,0,0
1996,Cabbage,159.5,1.2,194.4,159.5,1.2,194.4,0,0,0
1996,Carrot,33.8,2.1,71,33.8,2.1,71,0,0,0
1996,Cauliflower,512.3,4,2033.2,457.5,4,1835.9,54.8,3.6,197.3
1996,Cowpeas,39.5,0.3,11.6,0,0,0,39.5,0.3,11.6
1996,Cucumber,368.8,6.6,2017.8,349.1,5.7,1995.8,19.7,3.3,22
1996,Eggplants,4602.7,4.5,20817.5,4102.8,4.5,18360,499.9,4.9,2457.5
1996,Jew's mallow,91.2,0.9,81.9,0,0,0,91.2,0.9,81.9
1996,Lettuce,1825.2,0.7,1286.8,1825.2,0.7,1286.8,0,0,0
1996,Okra,274.2,0.2,52.4,0,0,0,274.2,0.2,52.4
1996,Onion dry,1794.7,2.3,4036.1,1784.4,2.3,4029.2,10.3,0.7,6.9
1996,Onion green,13.7,1.3,17.8,13.7,1.3,17.8,0,0,0
1996,Others_(Vegetables),783.5,1.2,921.4,614.3,1.2,740.7,169.2,1.1,180.7
1996,Parsley,421.1,1.1,463.2,421.1,1.1,463.2,0,0,0
1996,Peas,27.4,0.4,11.6,6.8,0.5,3.4,20.6,0.4,8.2
1996,Pepper,253.6,6.9,862.8,136.3,6,473.8,117.3,8.1,389
1996,Potato,657.4,2.6,1723.3,451.9,2.7,1230.1,205.5,2.4,493.2
1996,Radish,10.3,1,10.3,10.3,1,10.3,0,0,0
1996,Spinach,6.9,1.7,11.6,6.9,1.7,11.6,0,0,0
1996,Squash,1673.2,2.3,3782.9,1405.6,2.3,3162.6,267.6,2.3,620.3
1996,Sweet melon,151.3,1.5,228.4,47,1.2,56.4,104.3,1.7,172
1996,Tomatoes,1281.4,1.9,2407,1011.2,2,1994.1,270.2,1.5,412.9
1996,Water melon,281.7,3.8,1070.2,0,0,0,281.7,3.8,1070.2
1997,Beans,1447.5,2.3,1330.2,1284.5,2.4,1203,163,1.6,127.2
1997,Cabbage,340.5,3,1014.1,255,3.3,847.4,85.5,2,166.7
1997,Carrot,276.5,2.7,742.7,201,2.6,515.2,75.5,3,227.5
1997,Cauliflower,706.5,2.6,1803.1,442.5,2.5,1120.9,264,2.6,682.2
1997,Cowpeas,49,0.7,32.1,39,0.7,27.3,10,0.5,4.8
1997,Cucumber,421.7,4.1,1151.5,294,3.8,831.2,127.7,9.8,320.3
1997,Eggplants,4285,1.9,8109.5,3487,1.9,6681.1,798,1.8,1428.4
1997,Jew's mallow,129,2.2,277.4,45,2.2,97.7,84,2.1,179.7
1997,Lettuce,1188.5,1.7,1997.4,1079.5,1.6,1745.6,109,2.3,251.8
1997,Okra,235.5,0.8,179,57,0.9,50.7,178.5,0.7,128.3
1997,Onion dry,257.5,2,513,246.5,2,493.7,11,1.8,19.3
1997,Onion green,199.5,1.9,379.8,197.5,1.9,375.4,2,2.2,4.4
1997,Others_(Vegetables),876.5,1.6,1358.6,784.5,1.5,1205,92,1.7,153.6
1997,Parsley,379,0.9,339.1,372,0.9,334.8,7,0.6,4.3
1997,Peas,28,0.8,21.7,23,0.8,19,5,0.5,2.7
1997,Pepper,626.5,4.2,1318,538,3.5,948.5,88.5,8.4,369.5
1997,Potato,302.7,2.4,735.4,265.2,2.5,652.9,37.5,2.2,82.5
1997,Radish,65.3,3,197.3,43.3,2.9,124.9,22,3.3,72.4
1997,Spinach,14.5,2,29,13,2,26,1.5,2,3
1997,Squash,2019.5,2,4121.3,1204,2.1,2509.1,815.5,2,1612.2
1997,Sweet melon,103,1.6,159.8,38,1.7,63.7,65,1.5,96.1
1997,Tomatoes,2526,2.8,7100,1938.5,2.9,5551.9,587.5,2.6,1548.1
1997,Turnip,10,3,29.6,7,3,21,3,2.9,8.6
1997,Water melon,720,4.4,3169.6,100,4.1,410,620,4.5,2759.6
1998,Beans,793.3,1,307.5,720,0.4,231.1,73.3,1.9,76.4
1998,Cabbage,573.3,2.9,1671.2,220,1.5,328.7,353.3,3.8,1342.5
1998,Carrot,33.3,2.8,93.3,33.3,2.8,93.3,0,0,0
